guest_id,first_name,last_name,email,country,age_group,primary_brand,total_bookings,loyalty_tier,_fivetran_synced
G0013702,Gerald,Rose,paul70@example.org,Canada,35-44,Norwegian,4,Latitudes,2026-04-05T21:18:38.215630
G0014983,Michael,Ellis,melinda65@example.com,USA,55-64,Regent,5,None,2026-04-05T21:18:38.216761
G0008667,Christopher,Higgins,phicks@example.net,USA,35-44,Norwegian,4,Latitudes,2026-04-05T21:18:38.217908
G0003894,Robert,Powell,lorikemp@example.com,Australia,65+,Norwegian,4,Platinum,2026-04-05T21:18:38.219063
G0010914,Ronald,Martin,nmckay@example.org,France,35-44,Norwegian,2,Gold,2026-04-05T21:18:38.220194
G0016624,Deborah,Lowe,hudsonpeter@example.net,France,35-44,Oceania,2,Latitudes,2026-04-05T21:18:38.221341
G0000874,Kristine,Anderson,davidhernandez@example.net,USA,25-34,Norwegian,4,None,2026-04-05T21:18:38.222492
G0007937,Anna,Ramirez,christina65@example.net,Canada,45-54,Norwegian,2,Ambassador,2026-04-05T21:18:38.223620
G0002041,Haley,Deleon,brian56@example.com,USA,45-54,Norwegian,4,Latitudes,2026-04-05T21:18:38.224784
G0008663,Kevin,Marquez,ogreen@example.com,Other,55-64,Norwegian,4,Latitudes,2026-04-05T21:18:38.225945
G0008961,Jon,Santana,amy38@example.com,UK,45-54,Norwegian,2,Ambassador,2026-04-05T21:18:38.227062
G0008404,Steven,Mason,andrew18@example.org,USA,65+,Norwegian,5,Latitudes,2026-04-05T21:18:38.228178
G0001721,Ann,Jones,johnsonemily@example.org,USA,55-64,Norwegian,3,None,2026-04-05T21:18:38.229324
G0009413,Colleen,Dillon,zhart@example.org,USA,65+,Norwegian,4,None,2026-04-05T21:18:38.230422
G0006106,Amanda,Mason,christopherknight@example.org,USA,35-44,Norwegian,1,Platinum,2026-04-05T21:18:38.231559
G0016523,John,Shepherd,alanchavez@example.com,USA,45-54,Norwegian,4,Platinum,2026-04-05T21:18:38.232713
G0013288,Jessica,Andrews,veronicamarshall@example.com,USA,55-64,Norwegian,4,Latitudes,2026-04-05T21:18:38.233860
G0008749,Kevin,Roth,cooperjeffrey@example.net,Australia,55-64,Norwegian,2,Platinum,2026-04-05T21:18:38.234987
G0010191,Michelle,Ballard,gweiss@example.net,USA,55-64,Norwegian,1,None,2026-04-05T21:18:38.236096
G0007157,Jo,Ruiz,allenjessica@example.net,UK,45-54,Norwegian,2,None,2026-04-05T21:18:38.237234
G0004911,Jason,Davis,mcguirerachael@example.org,USA,65+,Norwegian,3,Platinum,2026-04-05T21:18:38.238362
G0010099,Daniel,Manning,keith13@example.org,USA,55-64,Oceania,3,None,2026-04-05T21:18:38.239459
G0015469,James,Thompson,speterson@example.org,USA,35-44,Norwegian,3,Gold,2026-04-05T21:18:38.240574
G0011396,Elizabeth,Bell,curtissara@example.net,Canada,55-64,Norwegian,3,Gold,2026-04-05T21:18:38.241739
G0008111,James,Williams,jmitchell@example.com,UK,45-54,Norwegian,6,Platinum,2026-04-05T21:18:38.242847
G0014629,Gregory,Adams,thomasbrooke@example.com,USA,35-44,Norwegian,2,None,2026-04-05T21:18:38.243962
G0018878,Thomas,Carney,hallmichael@example.org,UK,45-54,Norwegian,3,Gold,2026-04-05T21:18:38.245100
G0005739,Jacqueline,Barker,gsimmons@example.com,Other,65+,Oceania,2,Gold,2026-04-05T21:18:38.246221
G0007897,Douglas,Torres,carla05@example.net,Australia,35-44,Norwegian,3,None,2026-04-05T21:18:38.247311
G0002591,Charles,Carrillo,kimnatalie@example.org,Australia,55-64,Norwegian,3,None,2026-04-05T21:18:38.248454
G0018313,Ryan,Russell,virginiawalton@example.org,USA,55-64,Regent,3,Latitudes,2026-04-05T21:18:38.249600
G0007843,Courtney,Evans,brandiorozco@example.net,Canada,45-54,Norwegian,4,None,2026-04-05T21:18:38.250770
G0010494,Robert,Martinez,crystal60@example.com,Australia,45-54,Norwegian,5,None,2026-04-05T21:18:38.251862
G0008053,Gregory,Myers,whiteelizabeth@example.com,Canada,45-54,Norwegian,3,Gold,2026-04-05T21:18:38.252980
G0001925,Corey,Reyes,robertsondonald@example.org,Canada,25-34,Norwegian,5,Latitudes,2026-04-05T21:18:38.254122
G0001981,John,Summers,rcook@example.net,Australia,45-54,Norwegian,6,None,2026-04-05T21:18:38.255246
G0000562,Nicole,Wang,kentkristin@example.com,USA,65+,Norwegian,4,None,2026-04-05T21:18:38.256370
G0013006,Lisa,Romero,clarkwilliam@example.net,USA,35-44,Oceania,5,Latitudes,2026-04-05T21:18:38.257518
G0005616,Kevin,Lewis,rebeccagentry@example.com,France,55-64,Norwegian,2,None,2026-04-05T21:18:38.258667
G0017795,Jennifer,Thompson,fchang@example.org,Germany,55-64,Norwegian,6,None,2026-04-05T21:18:38.259794
G0018480,Brandon,Butler,staceycarr@example.com,USA,65+,Norwegian,2,Latitudes,2026-04-05T21:18:38.260932
G0019517,Kimberly,Hayes,pparker@example.net,USA,55-64,Norwegian,4,None,2026-04-05T21:18:38.262052
G0008076,Nicole,Coleman,kimberlyreyes@example.com,USA,65+,Norwegian,4,None,2026-04-05T21:18:38.263192
G0003350,Joshua,Russell,anthonymichele@example.com,UK,35-44,Oceania,5,Ambassador,2026-04-05T21:18:38.264332
G0012624,Brenda,Allen,xharris@example.org,USA,25-34,Norwegian,2,Platinum,2026-04-05T21:18:38.265451
G0004782,Lori,Sanders,millerscott@example.org,USA,55-64,Norwegian,4,Gold,2026-04-05T21:18:38.266600
G0012967,Ryan,Hernandez,johnsontina@example.com,USA,65+,Norwegian,5,Gold,2026-04-05T21:18:38.267761
G0010296,Julie,Jacobson,michaelserrano@example.org,UK,45-54,Norwegian,3,None,2026-04-05T21:18:38.268895
G0019407,Cynthia,White,mburke@example.net,USA,45-54,Norwegian,2,Latitudes,2026-04-05T21:18:38.270005
G0009924,Valerie,Bass,susan96@example.com,Canada,25-34,Norwegian,3,None,2026-04-05T21:18:38.271122
G0017815,Joseph,Dickerson,dustin67@example.org,Australia,35-44,Oceania,3,None,2026-04-05T21:18:38.272239
G0013095,Courtney,Long,jgriffin@example.org,USA,45-54,Norwegian,3,Latitudes,2026-04-05T21:18:38.273341
G0012260,Christopher,Lane,caseyaustin@example.com,USA,35-44,Norwegian,5,Ambassador,2026-04-05T21:18:38.274502
G0011415,William,Hamilton,lauren42@example.org,Other,45-54,Norwegian,4,Latitudes,2026-04-05T21:18:38.275622
G0003584,Shannon,Skinner,jackrodriguez@example.net,Australia,35-44,Norwegian,3,Latitudes,2026-04-05T21:18:38.276777
G0014161,Jonathan,Brooks,dmeyer@example.org,USA,55-64,Oceania,2,Latitudes,2026-04-05T21:18:38.277878
G0006127,Brian,Floyd,patricia95@example.org,UK,25-34,Norwegian,3,Platinum,2026-04-05T21:18:38.278979
G0009747,Rebecca,Lambert,eric02@example.net,USA,25-34,Norwegian,2,Gold,2026-04-05T21:18:38.280082
G0018836,Carol,Rodriguez,willisaustin@example.com,USA,45-54,Norwegian,3,Latitudes,2026-04-05T21:18:38.281232
G0000315,Randall,Mosley,butlerkelly@example.com,USA,35-44,Norwegian,3,Gold,2026-04-05T21:18:38.282356
G0009572,Ian,Jenkins,coopermichael@example.org,USA,65+,Regent,1,Latitudes,2026-04-05T21:18:38.283526
G0017762,Sarah,Shaw,jeremy29@example.com,Australia,55-64,Norwegian,5,Latitudes,2026-04-05T21:18:38.284635
G0002851,Joseph,Hanson,davenportaaron@example.org,UK,45-54,Norwegian,4,Latitudes,2026-04-05T21:18:38.285792
G0001946,Cynthia,Skinner,xspencer@example.com,France,35-44,Norwegian,3,Gold,2026-04-05T21:18:38.286909
G0004443,Taylor,Ferguson,jamesstacy@example.net,USA,65+,Norwegian,2,Gold,2026-04-05T21:18:38.288042
G0004659,Christine,Holt,justin04@example.net,USA,45-54,Norwegian,3,Latitudes,2026-04-05T21:18:38.289152
G0019070,Shannon,Smith,zavalasierra@example.org,UK,45-54,Norwegian,3,Latitudes,2026-04-05T21:18:38.290288
G0009293,Lori,Compton,jenkinschristopher@example.com,Australia,55-64,Norwegian,2,None,2026-04-05T21:18:38.291436
G0014461,Patricia,Howard,kathryn50@example.org,USA,55-64,Norwegian,4,None,2026-04-05T21:18:38.292542
G0005424,Chad,Vaughan,carla70@example.com,Canada,45-54,Norwegian,5,Latitudes,2026-04-05T21:18:38.293662
G0000305,Allison,Gillespie,mark53@example.com,Other,65+,Norwegian,4,Latitudes,2026-04-05T21:18:38.294761
G0009806,Bobby,Norris,jessica33@example.org,USA,55-64,Oceania,4,None,2026-04-05T21:18:38.295853
G0013491,Kristi,King,laustin@example.com,USA,25-34,Oceania,5,Platinum,2026-04-05T21:18:38.296966
G0002761,Susan,Richard,tcross@example.com,Germany,55-64,Norwegian,4,Platinum,2026-04-05T21:18:38.298082
G0012645,Leah,Boyd,garypayne@example.org,USA,65+,Norwegian,6,Latitudes,2026-04-05T21:18:38.299228
G0015435,Sonya,Mckenzie,navarronicole@example.net,USA,45-54,Norwegian,2,Ambassador,2026-04-05T21:18:38.300393
G0013182,Thomas,Anderson,catherine29@example.com,USA,55-64,Norwegian,3,None,2026-04-05T21:18:38.301505
G0002167,Jacob,Tucker,kerryvalenzuela@example.org,USA,65+,Norwegian,3,Gold,2026-04-05T21:18:38.302640
G0005756,Colleen,Tate,klowe@example.net,USA,45-54,Regent,3,Platinum,2026-04-05T21:18:38.303762
G0014069,Rhonda,Walters,ccummings@example.com,Australia,55-64,Norwegian,1,None,2026-04-05T21:18:38.304850
G0003372,Joseph,Ramirez,jeremynielsen@example.net,UK,55-64,Regent,1,None,2026-04-05T21:18:38.305980
G0001159,Scott,Ray,marksmith@example.com,USA,55-64,Norwegian,2,Latitudes,2026-04-05T21:18:38.307116
G0016901,Lauren,Elliott,josephvillanueva@example.net,UK,45-54,Norwegian,5,Platinum,2026-04-05T21:18:38.308281
G0007949,Debra,Gutierrez,justinrodgers@example.org,USA,45-54,Norwegian,4,None,2026-04-05T21:18:38.309415
G0009170,Jeffrey,Cole,rodriguezchristine@example.com,USA,35-44,Norwegian,3,Platinum,2026-04-05T21:18:38.310547
G0019160,Vanessa,Cook,delgadojesus@example.com,Germany,45-54,Norwegian,4,None,2026-04-05T21:18:38.311687
G0009969,Anthony,Wright,angelica74@example.net,Australia,55-64,Norwegian,3,None,2026-04-05T21:18:38.312798
G0005698,Lindsay,White,mparker@example.net,USA,35-44,Norwegian,2,Latitudes,2026-04-05T21:18:38.313914
G0007284,Anthony,Williams,pshields@example.net,Canada,35-44,Norwegian,3,Latitudes,2026-04-05T21:18:38.315028
G0004015,Emma,Farrell,dakotaking@example.net,Germany,35-44,Oceania,1,None,2026-04-05T21:18:38.316179
G0009171,Megan,Taylor,allison66@example.com,USA,45-54,Norwegian,3,Gold,2026-04-05T21:18:38.317319
G0017230,Carolyn,Hopkins,marc92@example.net,Germany,25-34,Norwegian,3,Latitudes,2026-04-05T21:18:38.318437
G0010449,Sherry,Johnson,goldenjohn@example.org,USA,55-64,Norwegian,3,Latitudes,2026-04-05T21:18:38.319573
G0008734,Antonio,Moore,abigailelliott@example.org,Germany,35-44,Norwegian,2,Latitudes,2026-04-05T21:18:38.320725
G0000925,Andrew,Dixon,williamsmichelle@example.org,USA,25-34,Oceania,2,None,2026-04-05T21:18:38.321852
G0000654,Miranda,Miller,phillip16@example.org,USA,25-34,Norwegian,2,Latitudes,2026-04-05T21:18:38.322949
G0017246,Shawn,Pena,cameronmoses@example.org,Germany,55-64,Norwegian,4,Ambassador,2026-04-05T21:18:38.324102
G0015965,Kevin,Bentley,john78@example.net,USA,45-54,Norwegian,5,Latitudes,2026-04-05T21:18:38.325236
G0000059,Matthew,Sanchez,katelynmurray@example.org,USA,55-64,Norwegian,4,None,2026-04-05T21:18:38.326365
G0000042,Kimberly,Yu,hannah17@example.com,UK,55-64,Norwegian,2,None,2026-04-05T21:18:38.327459
G0007392,Melissa,Davis,walterswilliam@example.net,Germany,65+,Norwegian,4,None,2026-04-05T21:18:38.328597
G0019466,Sara,Smith,gregory55@example.com,Australia,45-54,Norwegian,2,None,2026-04-05T21:18:38.329705
G0017699,John,Taylor,dmann@example.com,Australia,45-54,Norwegian,1,None,2026-04-05T21:18:38.330802
G0015740,Megan,Hunter,gabriel52@example.net,Other,45-54,Norwegian,3,Gold,2026-04-05T21:18:38.331913
G0012699,Joseph,Franco,mckenziehernandez@example.net,Canada,55-64,Norwegian,7,None,2026-04-05T21:18:38.333046
G0003169,Michelle,Hughes,johnmartin@example.net,USA,45-54,Norwegian,6,Latitudes,2026-04-05T21:18:38.334183
G0015560,Linda,Robinson,madison32@example.com,Canada,25-34,Norwegian,3,Latitudes,2026-04-05T21:18:38.335307
G0001399,Alex,Buck,xhorn@example.org,Australia,45-54,Regent,5,Gold,2026-04-05T21:18:38.336416
G0015013,Samantha,Daniel,rebecca25@example.org,Australia,55-64,Norwegian,5,None,2026-04-05T21:18:38.337513
G0003310,Janice,Williams,aprilcampbell@example.net,USA,55-64,Norwegian,3,Gold,2026-04-05T21:18:38.338637
G0013164,Jennifer,Robertson,kimberlypierce@example.org,Other,65+,Norwegian,6,None,2026-04-05T21:18:38.339765
